id,uid,source_dataset,source_url,caption,row_idx,local_relpath
31,000000562150,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000562150.jpg,A little girl holding a kitten next to a blue fence.,31,raw/coco/000000562150.jpg
32,000000542145,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000542145.jpg,A toilet and a sink in small bathroom.,32,raw/coco/000000542145.jpg
33,000000412151,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000412151.jpg,A bicycle store shows two males leaning toward a bike.,33,raw/coco/000000412151.jpg
34,000000579003,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000579003.jpg,A shower stall with interesting tile is the focal point.,34,raw/coco/000000579003.jpg
35,000000540186,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000540186.jpg,A view of a very large bathroom with mirrored walls.,35,raw/coco/000000540186.jpg
36,000000242611,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000242611.jpg,a long beige bathroom with a door to a bedroom and another to the hallway,36,raw/coco/000000242611.jpg
37,000000051191,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000051191.jpg,The view of a large bathroom with a walk in closet.,37,raw/coco/000000051191.jpg
38,000000269105,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000269105.jpg,A white toilet sitting next to a green wall under a picture.,38,raw/coco/000000269105.jpg
39,000000294832,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000294832.jpg,A bathroom with an enclosed shower next to a sink and a toilet.,39,raw/coco/000000294832.jpg
40,000000462565,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000462565.jpg,people on bicycles ride down a busy street ,40,raw/coco/000000462565.jpg
41,000000144941,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000144941.jpg,This is an image of the inside of a nice bathroom.,41,raw/coco/000000144941.jpg
42,000000173350,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000173350.jpg,Two dogs are looking up while they stand near the toilet in the bathroom.,42,raw/coco/000000173350.jpg
43,000000060760,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000060760.jpg,A bathroom with a walk in shower currently under repair.,43,raw/coco/000000060760.jpg
44,000000324266,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000324266.jpg,The bathroom is clean for the guests to use. ,44,raw/coco/000000324266.jpg
45,000000166532,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000166532.jpg,A white bath tub sitting next to a bathroom sink.,45,raw/coco/000000166532.jpg
46,000000262284,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000262284.jpg,A full view of a shower with glass.,46,raw/coco/000000262284.jpg
47,000000360772,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000360772.jpg,A toilet sitting in a bathroom next to a sink.,47,raw/coco/000000360772.jpg
48,000000191381,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000191381.jpg,Blue dust pan and brush on floor next to white commode.,48,raw/coco/000000191381.jpg
49,000000111076,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000111076.jpg,A bathroom with a sink and toilet and a window.,49,raw/coco/000000111076.jpg
50,000000340559,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000340559.jpg,There are two sinks next to two mirrors.,50,raw/coco/000000340559.jpg
51,000000258985,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000258985.jpg,A large porcelain toilet posed with a tan flower pot. ,51,raw/coco/000000258985.jpg
52,000000509822,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000509822.jpg,a gray bicycle is locked to some metal doors,52,raw/coco/000000509822.jpg
53,000000321107,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000321107.jpg,A woman rides a bicycle on a road next to the median.,53,raw/coco/000000321107.jpg
54,000000229643,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000229643.jpg,"A man takes a picture in the bathroom mirror
",54,raw/coco/000000229643.jpg
55,000000125059,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000125059.jpg,A bathroom with a white toilet sitting next to a bathroom sink.,55,raw/coco/000000125059.jpg
56,000000455483,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000455483.jpg,A bathroom with two sinks and a shower.,56,raw/coco/000000455483.jpg
57,000000436141,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000436141.jpg,The bathroom is clean and ready to be used. ,57,raw/coco/000000436141.jpg
58,000000129001,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000129001.jpg,A bath tub sitting next to a sink in a bathroom.,58,raw/coco/000000129001.jpg
59,000000232262,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000232262.jpg,an image of a cars driving on the highway,59,raw/coco/000000232262.jpg
60,000000061181,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000061181.jpg,This shot is of a crowded highway full of traffic,60,raw/coco/000000061181.jpg
61,000000166323,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000166323.jpg,Mirror view of a bathroom with a sink and tub.,61,raw/coco/000000166323.jpg
62,000000580041,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000580041.jpg,A city street filled with traffic and parking lights.,62,raw/coco/000000580041.jpg
63,000000326781,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000326781.jpg,A white toilet and a sink in a room.,63,raw/coco/000000326781.jpg
64,000000387362,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000387362.jpg,A bathroom sink shapped like a glass bowl.,64,raw/coco/000000387362.jpg
65,000000138079,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000138079.jpg,"A door opens to a bare, white bathroom. ",65,raw/coco/000000138079.jpg
66,000000556616,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000556616.jpg,A row of parked cars sitting next to parking meters.,66,raw/coco/000000556616.jpg
67,000000472621,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000472621.jpg,"An elegant bathroom features a tub, sink, mirror, and decorations. ",67,raw/coco/000000472621.jpg
68,000000192440,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000192440.jpg,A clean bathroom is seen in this image.,68,raw/coco/000000192440.jpg
69,000000086320,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000086320.jpg,A bathroom sink sitting under a large mirror.,69,raw/coco/000000086320.jpg
70,000000256668,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000256668.jpg,A white urinal mounted to a bathroom wall.,70,raw/coco/000000256668.jpg
71,000000383445,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000383445.jpg,A glazed donut hanging from a metal rod.,71,raw/coco/000000383445.jpg
72,000000565797,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000565797.jpg,An orange striped tabby cat laying on top of a red vehicle's wheel.,72,raw/coco/000000565797.jpg
73,000000081922,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000081922.jpg,A large jetliner flying over a traffic filled street.,73,raw/coco/000000081922.jpg
74,000000050125,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000050125.jpg,A silver and red bus in parking lot next to cars.,74,raw/coco/000000050125.jpg
75,000000364521,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000364521.jpg,A red helmet is on a yellow toilet in the dirt.,75,raw/coco/000000364521.jpg
76,000000394892,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000394892.jpg,a little kid riding a skateboard at a park,76,raw/coco/000000394892.jpg
77,000000001146,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000001146.jpg,A young man wearing black attire and a flowered tie is standing and smiling.,77,raw/coco/000000001146.jpg
78,000000310391,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000310391.jpg,A car with some surfboards in a field.,78,raw/coco/000000310391.jpg
79,000000097434,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000097434.jpg,A person on a street next to a motor bike.,79,raw/coco/000000097434.jpg
80,000000463836,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000463836.jpg,A man looking down with a backpack on in a house.,80,raw/coco/000000463836.jpg
81,000000241876,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000241876.jpg,A cat on the lid of a toilet looking perturbed.,81,raw/coco/000000241876.jpg
82,000000156832,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000156832.jpg,A toilet sitting in a bathroom next to a mirror.,82,raw/coco/000000156832.jpg
83,000000270721,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000270721.jpg,"Bathroom with white fixtures, tiles and corner shower.",83,raw/coco/000000270721.jpg
84,000000462341,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000462341.jpg,An older building with birds flying near it.,84,raw/coco/000000462341.jpg
85,000000310103,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000310103.jpg,a motorcycle in a driveway with a vanity license plate ,85,raw/coco/000000310103.jpg
86,000000032992,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000032992.jpg,A picture of a wooden container with crosses on it.,86,raw/coco/000000032992.jpg
87,000000122851,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000122851.jpg,There is a man picking bananas next to a street.,87,raw/coco/000000122851.jpg
88,000000540763,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000540763.jpg,A restroom has a toilet and a decorative sun wall plaque.,88,raw/coco/000000540763.jpg
89,000000138246,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000138246.jpg,some horses grazing in front of a church,89,raw/coco/000000138246.jpg
90,000000197254,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000197254.jpg,A horse drawn carriage is parked along the curb.,90,raw/coco/000000197254.jpg
91,000000032907,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000032907.jpg,a toilet on the ground outdoors in front of a house,91,raw/coco/000000032907.jpg
92,000000251252,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000251252.jpg,The shiny motorcycle is being shown on a display.,92,raw/coco/000000251252.jpg
93,000000037675,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000037675.jpg,Horses graze in front of a large building amid snow.,93,raw/coco/000000037675.jpg
94,000000159537,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000159537.jpg,A large clock tower with a wind indicator on top.,94,raw/coco/000000159537.jpg
95,000000268556,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000268556.jpg,A woman is riding a motorcycle down the street.,95,raw/coco/000000268556.jpg
96,000000271177,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000271177.jpg,A motorcycle sitting on the side of a street corner.,96,raw/coco/000000271177.jpg
97,000000075051,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000075051.jpg,A small white toilet sitting next to a metal trash can.,97,raw/coco/000000075051.jpg
98,000000549399,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000549399.jpg,A purple motorcycle parked in front of a red brick building.,98,raw/coco/000000549399.jpg
99,000000085160,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000085160.jpg,A few people working on various computers in an office.,99,raw/coco/000000085160.jpg
100,000000559665,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000559665.jpg,Black and white photograph of two men on motorcycles.,100,raw/coco/000000559665.jpg
101,000000019358,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000019358.jpg,Two blue bowls of food next to a bottle of cinnamon and sugar.,101,raw/coco/000000019358.jpg
102,000000459912,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000459912.jpg,Rows of motor bikes and helmets in a city,102,raw/coco/000000459912.jpg
103,000000015827,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000015827.jpg,Two rows of various makes of parked motorcycles.,103,raw/coco/000000015827.jpg
104,000000394240,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000394240.jpg,A row of motorcycles parked in front of a building.,104,raw/coco/000000394240.jpg
105,000000510755,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000510755.jpg,A row of motorcycles parked next to each other on a lush green field.,105,raw/coco/000000510755.jpg
106,000000175831,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000175831.jpg,Two people on mopeds passing in front of a building.,106,raw/coco/000000175831.jpg
107,000000079472,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000079472.jpg,Office space with office equipment on desk top.,107,raw/coco/000000079472.jpg
108,000000250108,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000250108.jpg,A computer that is on a desk near a window.,108,raw/coco/000000250108.jpg
109,000000315601,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000315601.jpg,A close-up of a one-way street with many cars and motorcycles.,109,raw/coco/000000315601.jpg
110,000000437218,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000437218.jpg,this living room has a small tv and a lamp next to it,110,raw/coco/000000437218.jpg
111,000000503707,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000503707.jpg,A group of men riding motorcycle down a country road.,111,raw/coco/000000503707.jpg
112,000000074331,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000074331.jpg,This is a case full of yellow bananas. ,112,raw/coco/000000074331.jpg
113,000000579664,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000579664.jpg,Vegetables are displayed in a wooden barrel outdoors.,113,raw/coco/000000579664.jpg
114,000000369763,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000369763.jpg,A polie officer standing next to a  motorcycle parked on the street.,114,raw/coco/000000369763.jpg
115,000000199951,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000199951.jpg,a person riding a motorcycle on an enclosed road,115,raw/coco/000000199951.jpg
116,000000452684,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000452684.jpg,A large pitcher of some beverage is on the table next to orange slices.,116,raw/coco/000000452684.jpg
117,000000213687,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000213687.jpg,Motorcycles driving down a wide city street nearing a white building.,117,raw/coco/000000213687.jpg
118,000000108094,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000108094.jpg,Two people on motorbike passing by a clock facade.,118,raw/coco/000000108094.jpg
119,000000527040,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000527040.jpg,A bunch of birds sitting in a bread basket.,119,raw/coco/000000527040.jpg
120,000000350341,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000350341.jpg,Grey bird in a wooden basket eating bread.,120,raw/coco/000000350341.jpg
121,000000550529,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000550529.jpg,A motorbike sitting in front of a wine display case,121,raw/coco/000000550529.jpg
122,000000432176,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000432176.jpg,A wooden bench sitting next to an entrance.,122,raw/coco/000000432176.jpg
123,000000281533,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000281533.jpg,A dog watches an animal on the television.,123,raw/coco/000000281533.jpg
124,000000369826,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000369826.jpg,A picture advertising Arizona tourism in an airport,124,raw/coco/000000369826.jpg
125,000000551334,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000551334.jpg,the person is sitting at a desk  with a television behind him ,125,raw/coco/000000551334.jpg
126,000000291380,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000291380.jpg,A car passes by to find a man outside near a TV.,126,raw/coco/000000291380.jpg
127,000000368978,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000368978.jpg,A four engine jet transport airplane flying low.,127,raw/coco/000000368978.jpg
128,000000077123,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000077123.jpg,"The side of an airplane that is parked, and an Air China sign on the side of the plane.",128,raw/coco/000000077123.jpg
129,000000513681,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000513681.jpg,A man in a safety vest holds him arms up as he stands in front of an airplane.,129,raw/coco/000000513681.jpg
130,000000437370,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000437370.jpg,a large air plane is parked out on a grass field,130,raw/coco/000000437370.jpg
131,000000078371,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000078371.jpg,A small airplane taking off from an airport runway.,131,raw/coco/000000078371.jpg
132,000000560623,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000560623.jpg,An airport filled with planes sitting on tarmacs.,132,raw/coco/000000560623.jpg
133,000000289173,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000289173.jpg,A plane just outside of a terminal with other planes in the background.,133,raw/coco/000000289173.jpg
134,000000052759,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000052759.jpg,"An airplane sits on the tarmac of an airport, with a disconnected boarding gate.",134,raw/coco/000000052759.jpg
135,000000568623,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000568623.jpg,A man sitting on a large bench talking on a cell phone.,135,raw/coco/000000568623.jpg
136,000000128939,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000128939.jpg,a car is stopped in the street for people to cross,136,raw/coco/000000128939.jpg
137,000000339974,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000339974.jpg,A traffic signal sitting next to a street at night.,137,raw/coco/000000339974.jpg
138,000000561100,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000561100.jpg,A small blue plane sitting on top of a field.,138,raw/coco/000000561100.jpg
139,000000150410,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000150410.jpg,Man bending down to check out a model plain that is parked in the grass,139,raw/coco/000000150410.jpg
140,000000009426,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000009426.jpg,A small plane flying through a cloudy blue sky.,140,raw/coco/000000009426.jpg
141,000000014869,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000014869.jpg,A park bench siting next to a tree next to a  park.,141,raw/coco/000000014869.jpg
142,000000281221,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000281221.jpg,a giraffe walking through trees on a sunny day,142,raw/coco/000000281221.jpg
143,000000108169,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000108169.jpg,a view of an air plane wing in the air ,143,raw/coco/000000108169.jpg
144,000000440575,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000440575.jpg,The snow covered mountain looks over the small city.,144,raw/coco/000000440575.jpg
145,000000354533,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000354533.jpg,A motorcycle sits parked across from a herd of livestock.,145,raw/coco/000000354533.jpg
146,000000545959,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000545959.jpg,A large group of sheep in a grassy field.,146,raw/coco/000000545959.jpg
147,000000511058,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000511058.jpg,A giraffe with a mouth full of grass in front of a forest.,147,raw/coco/000000511058.jpg
148,000000091227,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000091227.jpg,A giraffe standing in the grass near a tree.,148,raw/coco/000000091227.jpg
149,000000242139,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000242139.jpg,A building shines in the clear sky as cars drive underneath.,149,raw/coco/000000242139.jpg
150,000000334321,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000334321.jpg,A large white dog is sitting on a bench beside an elderly man.,150,raw/coco/000000334321.jpg
151,000000381021,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000381021.jpg,a woman is on a poster hanging outside,151,raw/coco/000000381021.jpg
152,000000170629,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000170629.jpg,A yellow bus is parked near people on the side of the road.,152,raw/coco/000000170629.jpg
153,000000207797,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000207797.jpg,A lone giraffe walking in an open field.,153,raw/coco/000000207797.jpg
154,000000179558,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000179558.jpg,Two giraffes standing together in an open field zoo den,154,raw/coco/000000179558.jpg
155,000000368117,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000368117.jpg,A couple of traffic lights sitting under a cloudy sky.,155,raw/coco/000000368117.jpg
156,000000015085,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000015085.jpg,A giraffe drinking water from a  river on a beach.,156,raw/coco/000000015085.jpg
157,000000467522,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000467522.jpg,A group of giraffes standing near each other. ,157,raw/coco/000000467522.jpg
158,000000040102,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000040102.jpg,Two giraffe standing next to each other on a grassy field.,158,raw/coco/000000040102.jpg
159,000000403020,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000403020.jpg,A giraffe lying on the ground in a zoo pin.,159,raw/coco/000000403020.jpg
160,000000006005,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000006005.jpg,a couple of giraffes that are walking around,160,raw/coco/000000006005.jpg
161,000000219514,hf://phiyodr/coco2017/default/train,http://images.cocodataset.org/train2017/000000219514.jpg,some street signs sitting on a pole next to a street light ,161,raw/coco/000000219514.jpg
